1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
30,30
31,31
32,32
33,33
34,34
35,35
36,36
37,37
38,38
39,39
40,40
41,41
42,42
43,43
44,44
45,45
46,46
47,47
48,48
49,49
50,50
51,51
52,52
53,53
54,54
55,55
56,56
57,57
58,58
59,59
60,60
61,61
62,62
63,63
64,64
65,65
66,66
67,67
68,68
69,69
70,70
71,71
72,72
73,73
74,74
75,75
76,76
77,77
79,78
80,79
81,80
82,81
83,82
84,83
85,84
86,85
87,86
88,87
89,88
90,89
91,90
92,91
93,92
94,93
95,94
96,95
97,96
98,97
99,98
100,99
101,100
102,101
103,102
104,103
105,104
106,105
108,106
109,107
110,108
111,109
112,110
113,111
114,112
115,113
116,114
117,115
118,116
119,117
120,118
121,119
122,120
123,121
124,122
125,123
126,124
127,125
128,126
129,127
130,128
131,129
132,130
133,131
134,132
135,133
136,134
137,135
138,136
139,137
140,138
141,139
142,140
143,141
144,142
145,143
146,144
147,145
435,146
436,147
437,148
439,149
443,150
447,151
448,152
454,153
457,154
461,155
466,156
467,157
469,158
470,159
471,160
475,161
478,162
479,163
483,164
484,165
487,166
488,167
490,168
491,169
495,170
497,171
500,172
502,173
503,174
504,175
505,176
506,177
507,178
515,179
521,180
523,181
524,182
525,183
526,184
527,185
528,186
532,187
533,188
534,189
543,190
544,191
546,192
548,193
551,194
554,195
558,196
559,197
