1,1,1,4,Or.6392/1,Hoernle,Hoernle 1 M.9,1 Khotanese,2 Southern Brahmī cursive,1,1,2,No data,Contract of ding,Year 17 5th day Skarhvara month,No data,1,1,12,1,No data,https://github.com/khotanese/k_corpus_images,1,No data,No data,KT II: 64 (25); Catalogue: 3 
2,1,1,4,Or.6391/2,No data,No data,1 Khotanese,2 Southern Brahmī cursive,1,No data,No data,No data,loan of grain,Year 11. 8th days. Cvataja month,No data,1,1,9,1,No data,https://github.com/khotanese/k_corpus_images,2,No data,No data,KT V: 1 (1); Catalogue: 4
3,1,1,4,Or.6393/1,No data,No data,1 Khotanese,2 Southern Brahmī cursive,1,No data,No data,No data,Arrjāṃ’s petition to spāta Gaudaka for getting back his son,No data,No data,1,1,8,1,No data,https://github.com/khotanese/k_corpus_images,3,No data,No data,KT V: 1 (2); Catalogue: 4
4,1,1,4,Or.6393/2,No data,No data,1 Khotanese,2 Southern Brahmī cursive,1,No data,No data,No data,Land purchase,7th month; 22th day,No data,1,1,7,1,No data,https://github.com/khotanese/k_corpus_images,4,No data,No data,KT V: 2 (3); Catalogue: 4
5,1,1,4,Or.6394/1,No data,No data,1 Khotanese,2 Southern Brahmī cursive,1,No data,No data,No data,Order on cloth,7th month 10th day,No data,1,1,6,1,No data,https://github.com/khotanese/k_corpus_images,5,No data,No data,KT II: 65 (26); Catalogue: 5
6,1,1,4,Or.6394/2,No data,No data,1 Khotanese,2 Southern Brahmī cursive,1,No data,No data,No data,Order requesting money for winter clothes and poll tax of the second month ,5th month. 6th day,No data,1,1,7,1,No data,https://github.com/khotanese/k_corpus_images,6,No data,No data,KT V: 2 (5); Catalogue: 5
7,1,1,4,Or.6395/1,No data,No data,1 Khotanese,2 Southern Brahmī cursive,1,No data,No data,No data,Contract of giving a man as tax payment,Year 22. 23rd days. Skarihvara month,No data,1,1,22,1,No data,https://github.com/khotanese/k_corpus_images,7,No data,No data,KT V: 3 (6); Catalogue:6
8,1,1,4,Or.6395/2,No data,No data,1 Khotanese,2 Southern Brahmī cursive,1,No data,No data,No data,Tax agreement,Year 17. 17th days. Rrahaja month,No data,1,1,6,1,No data,https://github.com/khotanese/k_corpus_images,8,No data,No data,KT II: 65 (27); Catalogue:7
9,1,1,4,Or.6396/1,No data,No data,1 Khotanese,2 Southern Brahmī cursive,1,No data,No data,No data,Voucher ,Year 20. 20th days. Rrahaja month (Line 1-8) 26th days. Rrahaja month (Line 9-11),No data,1,1,11,1,No data,https://github.com/khotanese/k_corpus_images,9,No data,No data,KT V: 4 (8); Catalogue: 7
10,1,1,4,Or.6396/2,No data,No data,1 Khotanese,2 Southern Brahmī cursive,1,No data,No data,No data,Tax agreement,Year 19. 29th days. Bramkhaysja month,No data,1,1,8,1,No data,https://github.com/khotanese/k_corpus_images,10,No data,No data,KT V: 5 (9); Catalogue: 8
11,1,1,4,Or.6397/1,No data,No data,1 Khotanese,2 Southern Brahmī cursive,1,No data,No data,No data,Land purchase,Year 20. 13rd days. Cvataja month,No data,1,1,8,1,No data,https://github.com/khotanese/k_corpus_images,11,No data,No data,KT II: 66 (30); Catalogue: 9
12,1,1,4,Or.6397/2,No data,No data,1 Khotanese,2 Southern Brahmī cursive,1,No data,No data,No data,Loan of mūrās,Year 20. 10thdays. Kaja month,No data,1,1,13,1,No data,https://github.com/khotanese/k_corpus_images,12,No data,No data,KT II: 65 (28); Catalogue: 9
13,1,1,4,Or.6398/1-10,No data,No data,1 Khotanese,2 Southern Brahmī cursive,1,No data,No data,No data,No data,No data,No data,1,1,2,1,No data,https://github.com/khotanese/k_corpus_images,13,No data,No data,KT V: 6-8 (12-19); Catalogue: 10
14,1,1,5,Or.11252/1,No data,No data,1 Khotanese,2 Southern Brahmī cursive,1,No data,No data,No data,No data,No data,No data,1,1,57,1,No data,https://github.com/khotanese/k_corpus_images,14,No data,No data,KT III: 13 (2); Catalogue: 82
